,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ZINC,pdbqt,Lowest_E,Mean_E,Set,Mwt,LogP,Rotatable bonds,H-donors,H-acceptors,PSA,Net charge,Num chirals,chirals,SMILES,QED_mean
9914,75595,75595,7102,ZINC000005925295,GJABRN.xaa_ligand_15955.pdbqt,-5.86,-5.86,1,399.082,4.538,4,1,2,38,0,0,[],Cc1cc(OCC(=O)Nc2cccc(Br)c2)ccc1Br,0.7845053095744977
9915,212478,212478,6965,ZINC000032958391,FJAARN.xaa_ligand_02156.pdbqt,-5.86,-5.86,1,366.852,4.526,3,1,4,58,0,0,[],O=C(Nc1ccccc1Cl)c1nc2ccccc2nc1N1CCCCC1,0.7072472950968217
9916,61882,61882,1953,ZINC000390832167,FJAARN.xaa_ligand_28802.pdbqt,-5.86,-5.86,1,352.459,4.531,5,1,4,55,0,0,[],O=C(NCc1ccc(-c2ccoc2)nc1)C1(c2cccs2)CCCC1,0.7015907740006546
9917,249411,249411,1071,ZINC000019601356,EJAARN.xaa_ligand_03167.pdbqt,-5.86,-5.86,1,346.16,4.525,5,1,2,38,0,0,[],O=C(NCc1ccc(OC(F)F)cc1)c1ccc(Cl)c(Cl)c1,0.8263760741446685
9918,46611,46611,3808,ZINC000007000691,FJAARN.xaa_ligand_22716.pdbqt,-5.86,-5.86,1,372.515,4.562,5,1,4,49,0,0,[],Cc1ccc(Sc2ccc(NC(=O)CN3CCSC3=O)cc2)c(C)c1,0.7988911802844072
9919,234894,234894,3690,ZINC000257263924,GJABRN.xaa_ligand_01498.pdbqt,-5.86,-5.86,1,384.564,4.551,5,1,3,41,0,5,"[(9, 'S'), (13, 'S'), (15, 'R'), (17, 'S'), (21, 'R')]",CCN(CC)c1ccc([C@H]2OCC[C@@]34C[C@@H](C[C@H]23)C(C)(C)[C@H]4NC(C)=O)cc1,0.7739860042418109
9920,238873,238873,7669,ZINC000065059025,GJAARN.xaa_ligand_44187.pdbqt,-5.86,-5.86,1,393.531,4.562,4,2,2,61,0,1,"[(9, 'S')]",Cc1ccc(CNC(=O)[C@@]2(C)CCCN(C(=O)Nc3ccc(C)c(C)c3)C2)cc1,0.7645095861744574
9921,95020,95020,836,ZINC000225890415,FJABRN.xaa_ligand_2388.pdbqt,-5.86,-5.86,1,356.466,4.557,6,1,4,60,0,2,"[(11, 'R'), (17, 'S')]",CCCOc1ccc(NC(=O)[C@@]2(OC)CCC[C@H](C)C2)c2cccnc12,0.7879936097941882
9922,63177,63177,3248,ZINC000225637713,EJABRN.xaa_ligand_03878.pdbqt,-5.86,-5.86,1,333.472,4.564,6,1,3,47,0,2,"[(2, 'S'), (21, 'S')]",CO[C@@]1(C(=O)Nc2ccc(OCC(C)C)c(C)c2)CCC[C@H](C)C1,0.79317814379605
9923,123352,123352,3477,ZINC000069705443,EJAARN.xaa_ligand_24448.pdbqt,-5.86,-5.86,1,342.489,4.556,3,0,4,32,0,0,[],CN(C)C(=O)c1ccc(CSC2=Nc3ccccc3CS2)cc1,0.7837173550670238
9924,384209,384209,7441,ZINC000105606815,GJABRN.xaa_ligand_06261.pdbqt,-5.86,-5.86,1,383.488,4.534,6,1,4,56,0,2,"[(10, 'R'), (15, 'S')]",Cc1ccc(C(C)C)c(O[C@H](C)C(=O)N[C@@H](C)c2ccc3c(c2)OCCO3)c1,0.7610412334384066
9925,463889,463889,1493,ZINC000004758664,DJCARN.xaa_ligand_132.pdbqt,-5.86,-5.86,1,312.8,4.57,2,1,3,34,0,3,"[(10, 'S'), (17, 'R'), (21, 'S')]",COc1ccc(Cl)c2c1N[C@H](c1ccncc1)[C@@H]1CC=C[C@H]21,0.7884397011488523
9926,68855,68855,362,ZINC000095419369,EJAAMN.xaa_ligand_0821.pdbqt,-5.86,-5.86,1,329.465,4.592,5,1,3,35,1,2,"[(5, 'S'), (8, 'R')]",COc1cc([C@H](C)N[C@@H]2CCOc3ccccc32)ccc1SC,0.776855044186806
9927,79699,79699,2642,ZINC000012793542,HJAARN.xaa_ligand_38500.pdbqt,-5.86,-5.86,1,412.328,4.529,4,1,4,45,0,1,"[(1, 'R')]",C[C@@H]1CCCN(Cc2csc(NC(=O)c3ccc(F)cc3Br)n2)C1,0.7677167952086196
9928,498501,498501,1856,ZINC000015771255,DJAARN.xaa_ligand_00263.pdbqt,-5.86,-5.86,1,322.383,4.554,5,1,2,34,0,1,"[(6, 'S')]",Cc1cccc([C@H](CC(=O)Nc2cccc(F)c2)n2cccc2)c1,0.7019415928224023
9929,317409,317409,565,ZINC000058421338,GJAARN.xaa_ligand_04309.pdbqt,-5.86,-5.86,1,392.293,4.509,5,1,4,41,0,1,"[(10, 'R')]",COc1cc(CN2CCC[C@@H]2c2ccc(O)cc2)cc(Br)c1OC,0.7777760269140325
9930,430143,430143,2000,ZINC000299763940,EJAARN.xaa_ligand_04181.pdbqt,-5.86,-5.86,1,337.423,4.54,4,1,3,58,0,1,"[(7, 'S')]",Cc1ccnc(C[C@H](C)N(C)C(=O)Nc2ccc3oc(C)cc3c2)c1,0.7268234618842224
9931,400354,400354,6461,ZINC000001013754,GJEARN.xaa_ligand_1453.pdbqt,-5.86,-5.86,1,379.456,4.519,3,1,4,66,0,1,"[(6, 'R')]",COc1ccc([C@@H]2C(C(=O)C(C)(C)C)=C(O)C(=O)N2c2ccc(C)cc2)cc1,0.8110550814691957
